,lr_clf,lda_clf,gn_clf,svm_clf_1,svm_clf_2,svm_clf_3,svm_clf_4,knn_clf,rf_clf,gb_clf,ada_clf,bag_clf_rf,bag_clf_knn,xgb_clf,mlp_clf,voting_clf
0.5,0.834415584,0.782467532,0.62012987,0.788961039,0.74025974,0.775974026,0.659090909,0.678571429,0.74025974,0.743506494,0.649350649,0.727272727,0.746753247,0.779220779,0.711038961,0.818181818
1,0.951388889,0.947916667,0.864583333,0.920138889,0.90625,0.927083333,0.840277778,0.833333333,0.909722222,0.902777778,0.819444444,0.854166667,0.895833333,0.90625,0.916666667,0.975694444
1.5,0.985074627,0.97761194,0.914179104,0.929104478,0.921641791,0.917910448,0.906716418,0.854477612,0.925373134,0.917910448,0.779850746,0.899253731,0.910447761,0.921641791,0.962686567,0.970149254
2,0.995967742,0.995967742,0.919354839,0.991935484,0.963709677,0.907258065,0.927419355,0.923387097,0.911290323,0.911290323,0.858870968,0.887096774,0.931451613,0.919354839,0.995967742,0.971774194
2.5,0.995614035,0.995614035,0.929824561,0.995614035,0.964912281,0.929824561,0.947368421,0.942982456,0.916666667,0.899122807,0.837719298,0.947368421,0.956140351,0.912280702,0.99122807,0.973684211
3,1,0.995192308,0.947115385,0.990384615,0.980769231,0.951923077,0.975961538,0.951923077,0.894230769,0.956730769,0.942307692,0.9375,0.971153846,0.9375,0.995192308,0.980769231
3.5,1,1,0.961956522,1,0.967391304,0.994565217,0.989130435,0.972826087,0.967391304,0.994565217,0.951086957,0.945652174,0.951086957,0.972826087,1,1
